dataset,seed,stream,mode,identity,valid_online_CIL,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,7,3,157,67,42.67515923566879,-0.017462008538741854,157
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,8,21,4,0,0.0,-0.219383959495232,4
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,9,16,8,1,12.5,-0.06015777057179461,8
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,10,22,21,11,52.38095238095238,0.018936902221016422,21
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,11,13,160,144,90.0,0.27997466724971687,160
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,12,18,33,2,6.0606060606060606,-0.12346108990278101,33
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,13,14,60,25,41.666666666666664,-0.019658358891638365,60
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,14,9,164,158,96.34146341463415,0.18498605567963666,164
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,15,19,2,0,0.0,-0.22409210713863412,2
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,16,15,123,117,95.1219512195122,0.18609713214930085,123
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,17,6,1,0,0.0,-0.3085918318260941,1
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,18,5,1,0,0.0,-0.3677586629279003,1
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,19,20,66,0,0.0,-0.15389969634478265,66
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,20,10,150,85,56.666666666666664,-0.007582703781750195,150
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.3634279743959129,21
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,96,84.95575221238938,0.1348433903490589,113
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,0,0.0,-0.6235772992057014,7
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,0,0.0,-0.363370008225572,165
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,0,0.0,-0.5817192211823521,41
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,3,8,153,0,0.0,-0.39973184186627,153
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,4,2,182,0,0.0,-0.38892680603002855,182
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,5,11,61,0,0.0,-0.6053441480691083,61
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,6,17,5,0,0.0,-0.36110564147234886,5
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,7,3,157,0,0.0,-0.3702560150858409,157
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,8,21,4,0,0.0,-0.3403417715870394,4
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,9,16,8,0,0.0,-0.6016609286555314,8
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,10,22,21,0,0.0,-0.35150401532627257,21
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,11,13,160,0,0.0,-0.3314754134876215,160
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,12,18,33,0,0.0,-0.3294349123019287,33
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,13,14,60,0,0.0,-0.3052418906482518,60
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,14,9,164,0,0.0,-0.41083442966840966,164
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,15,19,2,0,0.0,-0.31888978688381,2
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,16,15,123,0,0.0,-0.3942050947379609,123
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,17,6,1,0,0.0,-0.3834514360974273,1
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,18,5,1,0,0.0,-0.26621686663151223,1
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,19,20,66,0,0.0,-0.29169388301827365,66
