contrast,order_seed,session,metric,difference_pp,std_across_fixed_pairs
A-CB minus A-U,1993,2,old_macro_recall,41.903537299878764,
A-CB minus A-U,1994,2,old_macro_recall,26.969372365713827,
A-CB minus A-U,1995,2,old_macro_recall,34.02065441699588,
A-CB minus A-U,fixed_pair_mean,2,old_macro_recall,34.297854694196154,7.470940407035137
A-CB minus A-U,1993,2,current_macro_recall,-11.692126909518208,
A-CB minus A-U,1994,2,current_macro_recall,33.11036789297658,
A-CB minus A-U,1995,2,current_macro_recall,11.956521739130437,
A-CB minus A-U,fixed_pair_mean,2,current_macro_recall,11.124920907529605,22.4128212211054
A-CB minus A-U,1993,2,label_6_recall,92.3076923076923,
A-CB minus A-U,1994,2,label_6_recall,92.3076923076923,
A-CB minus A-U,1995,2,label_6_recall,92.3076923076923,
A-CB minus A-U,fixed_pair_mean,2,label_6_recall,92.3076923076923,0.0
A-CB minus A-U,1993,2,label_7_recall,50.0,
A-CB minus A-U,1994,2,label_7_recall,50.0,
A-CB minus A-U,1995,2,label_7_recall,50.0,
A-CB minus A-U,fixed_pair_mean,2,label_7_recall,50.0,0.0
A-CB minus A-U,1993,2,base_macro_recall,28.967572062084255,
A-CB minus A-U,1994,2,base_macro_recall,45.46020105471325,
A-CB minus A-U,1995,2,base_macro_recall,26.19578057078057,
A-CB minus A-U,fixed_pair_mean,2,base_macro_recall,33.54118456252603,10.414793450836612
A-CB minus A-U,1993,2,post_base_macro_recall,28.041670432974783,
A-CB minus A-U,1994,2,post_base_macro_recall,11.549041440345782,
A-CB minus A-U,1995,2,post_base_macro_recall,30.81346192427847,
A-CB minus A-U,fixed_pair_mean,2,post_base_macro_recall,23.468057932533014,10.414793450836616
A-CB minus A-U,1993,2,tail_base_macro_recall,50.0,
A-CB minus A-U,1994,2,tail_base_macro_recall,50.0,
A-CB minus A-U,1995,2,tail_base_macro_recall,92.3076923076923,
A-CB minus A-U,fixed_pair_mean,2,tail_base_macro_recall,64.1025641025641,24.426357542638016
A-CB minus A-U,1993,2,tail_post_base_macro_recall,92.3076923076923,
A-CB minus A-U,1994,2,tail_post_base_macro_recall,92.3076923076923,
A-CB minus A-U,1995,2,tail_post_base_macro_recall,50.0,
A-CB minus A-U,fixed_pair_mean,2,tail_post_base_macro_recall,78.2051282051282,24.426357542638016
S-J-U minus A-U,1993,0,balanced_accuracy,6.173780487804876,
S-J-U minus A-U,1994,0,balanced_accuracy,2.504943968358603,
S-J-U minus A-U,1995,0,balanced_accuracy,2.658169533169527,
S-J-U minus A-U,fixed_pair_mean,0,balanced_accuracy,3.7789646631110023,2.075385902448279
S-J-U minus A-U,1993,0,tail_rank2,0.0,
S-J-U minus A-U,1994,0,tail_rank2,0.0,
S-J-U minus A-U,1995,0,tail_rank2,0.0,
S-J-U minus A-U,fixed_pair_mean,0,tail_rank2,0.0,0.0
S-J-U minus A-U,1993,0,old_macro_recall,,
S-J-U minus A-U,1994,0,old_macro_recall,,
S-J-U minus A-U,1995,0,old_macro_recall,,
S-J-U minus A-U,fixed_pair_mean,0,old_macro_recall,,
S-J-U minus A-U,1993,0,current_macro_recall,6.173780487804876,
S-J-U minus A-U,1994,0,current_macro_recall,2.504943968358603,
S-J-U minus A-U,1995,0,current_macro_recall,2.658169533169527,
S-J-U minus A-U,fixed_pair_mean,0,current_macro_recall,3.7789646631110023,2.075385902448279
S-J-U minus A-U,1993,0,label_6_recall,,
S-J-U minus A-U,1994,0,label_6_recall,,
S-J-U minus A-U,1995,0,label_6_recall,0.0,
S-J-U minus A-U,fixed_pair_mean,0,label_6_recall,,
S-J-U minus A-U,1993,0,label_7_recall,0.0,
S-J-U minus A-U,1994,0,label_7_recall,0.0,
