method,order_seed,original_label,in_parent_base,first_session,first_recall,last_recall,first_minus_final_pp,final_minus_first_pp,no_subsequent_interval
S-F-U,1994,1,False,1,51.35135135135135,45.94594594594595,5.405405405405396,-5.405405405405396,False
S-F-U,1994,2,False,2,67.3913043478261,67.3913043478261,,,True
S-F-U,1994,3,True,0,100.0,0.0,100.0,-100.0,False
S-F-U,1994,4,True,0,41.46341463414634,0.0,41.46341463414634,-41.46341463414634,False
S-F-U,1994,5,True,0,16.216216216216218,0.0,16.216216216216218,-16.216216216216218,False
S-F-U,1994,6,False,2,0.0,0.0,,,True
S-F-U,1994,7,True,0,0.0,0.0,0.0,0.0,False
S-F-U,1995,0,True,0,97.72727272727273,97.72727272727273,0.0,0.0,False
S-F-U,1995,1,True,0,48.64864864864865,43.24324324324324,5.405405405405411,-5.405405405405411,False
S-F-U,1995,2,False,2,67.3913043478261,67.3913043478261,,,True
S-F-U,1995,3,True,0,5.0,2.5,2.5,-2.5,False
S-F-U,1995,4,False,1,7.317073170731707,0.0,7.317073170731707,-7.317073170731707,False
S-F-U,1995,5,False,1,0.0,0.0,0.0,0.0,False
S-F-U,1995,6,True,0,0.0,0.0,0.0,0.0,False
S-F-U,1995,7,False,2,0.0,0.0,,,True
S-F-CB,1993,0,True,0,86.36363636363636,75.0,11.36363636363636,-11.36363636363636,False
S-F-CB,1993,1,False,2,51.35135135135135,51.35135135135135,,,True
S-F-CB,1993,2,False,2,52.17391304347826,52.17391304347826,,,True
S-F-CB,1993,3,True,0,52.5,27.500000000000004,24.999999999999996,-24.999999999999996,False
S-F-CB,1993,4,True,0,70.73170731707317,43.90243902439025,26.829268292682926,-26.829268292682926,False
S-F-CB,1993,5,False,1,54.054054054054056,45.94594594594595,8.108108108108105,-8.108108108108105,False
S-F-CB,1993,6,False,1,84.61538461538461,88.46153846153845,-3.8461538461538396,3.8461538461538396,False
S-F-CB,1993,7,True,0,45.83333333333333,50.0,-4.166666666666671,4.166666666666671,False
S-F-CB,1994,0,False,1,77.27272727272727,75.0,2.2727272727272663,-2.2727272727272663,False
S-F-CB,1994,1,False,1,59.45945945945946,54.054054054054056,5.4054054054054035,-5.4054054054054035,False
S-F-CB,1994,2,False,2,43.47826086956522,43.47826086956522,,,True
S-F-CB,1994,3,True,0,77.5,32.5,45.0,-45.0,False
S-F-CB,1994,4,True,0,53.65853658536586,56.09756097560976,-2.439024390243901,2.439024390243901,False
S-F-CB,1994,5,True,0,54.054054054054056,51.35135135135135,2.702702702702709,-2.702702702702709,False
S-F-CB,1994,6,False,2,92.3076923076923,92.3076923076923,,,True
S-F-CB,1994,7,True,0,54.166666666666664,50.0,4.166666666666664,-4.166666666666664,False
S-F-CB,1995,0,True,0,75.0,68.18181818181817,6.818181818181827,-6.818181818181827,False
S-F-CB,1995,1,True,0,62.16216216216216,48.64864864864865,13.513513513513509,-13.513513513513509,False
S-F-CB,1995,2,False,2,36.95652173913043,36.95652173913043,,,True
S-F-CB,1995,3,True,0,75.0,25.0,50.0,-50.0,False
S-F-CB,1995,4,False,1,58.536585365853654,56.09756097560976,2.439024390243894,-2.439024390243894,False
S-F-CB,1995,5,False,1,54.054054054054056,40.54054054054054,13.513513513513516,-13.513513513513516,False
S-F-CB,1995,6,True,0,88.46153846153845,76.92307692307693,11.538461538461519,-11.538461538461519,False
S-F-CB,1995,7,False,2,66.66666666666666,66.66666666666666,,,True
