method,metric,mean,std_ddof1,minimum,maximum,n_parent_models,n_unique_final_fits,interpretation
S-F-U,AvgBA_all,28.92798376560307,2.7530730024582115,25.76690070360537,30.80020382379874,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,AvgBA_inc,25.425738208081793,1.7690942671531467,23.383582762725126,26.49035187940278,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,balanced_accuracy,54.50578921085283,2.243540272123757,52.37685420943639,56.84861494478409,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,tail_rank2,70.72649572649573,1.3344012817090631,69.23076923076923,71.7948717948718,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,old_macro_recall,53.62247417125466,1.344001034184956,52.56527421161567,55.13498723864578,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,current_macro_recall,57.15573432964737,9.298756788707673,51.7626321974148,67.89297658862876,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,label_6_recall,85.89743589743591,8.006407690254349,76.92307692307693,92.3076923076923,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,label_7_recall,55.55555555555555,9.622504486493757,50.0,66.66666666666666,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,base_macro_recall,50.42540792540793,3.7789530641618807,47.48722808174028,54.68838593838594,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,post_base_macro_recall,58.58617049629775,8.109632967741964,50.06532248048685,66.2100018078279,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,tail_base_macro_recall,58.97435897435898,15.544045708951469,50.0,76.92307692307693,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,tail_post_base_macro_recall,82.47863247863248,13.827939903729435,66.66666666666666,92.3076923076923,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,accuracy,53.10734463276837,2.544255423547502,50.50847457627119,55.59322033898305,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,macro_f1,54.41272574459898,2.373335284525132,52.11608189104717,56.85595717795402,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,head_rank2,62.039312039312044,3.210451218104318,58.415233415233416,64.52702702702703,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,mid_rank4,42.628674538801796,3.111496099915112,39.648655813820184,45.85679329913158,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,HM_old_current_macro,55.07192306184577,3.997298268088044,52.18571313713799,59.63444105343263,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,worst_class_recall,28.333333333333332,3.8188130791298662,25.0,32.5,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,AvgBA_all,59.95416857536864,1.6841307333304993,58.243688340785376,61.61065107313781,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-CB,AvgBA_inc,56.788268073726705,1.7190668491707384,54.83801403174415,58.083664841518754,3,3,"three existing fixed S0/order pairs, not independent splits"
