contrast,order_seed,session,metric,point_pp,lower95,upper95,resamples,seed,unit,parents_resampled,independent_confirmation,interpretation
S-J-CB minus A-CB,fixed_pair_mean,2,base_macro_recall,5.880729676461388,2.8429771113433375,9.217657206994494,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,post_base_macro_recall,3.650682455030278,-0.8458990480250135,8.366762786814267,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,post_base_macro_recall,-1.2406218927958008,-5.603182880557018,2.9287439613526445,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,post_base_macro_recall,5.197316882099493,1.1221346306190656,9.833478763492487,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,2,post_base_macro_recall,2.535792481444657,-0.6221293548070395,5.811449444871701,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,tail_base_macro_recall,8.333333333333336,0.0,20.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,tail_base_macro_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,tail_base_macro_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,2,tail_base_macro_recall,2.7777777777777786,0.0,6.666666666666667,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,tail_post_base_macro_recall,-3.846153846153854,-12.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,tail_post_base_macro_recall,-3.846153846153854,-12.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,tail_post_base_macro_recall,8.333333333333336,0.0,20.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,2,tail_post_base_macro_recall,0.21367521367520936,-6.667948717948718,5.555555555555557,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,0,balanced_accuracy,38.91444937176645,30.938352525357995,47.181125277161854,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,0,balanced_accuracy,19.764474840694348,10.873507320768473,27.85646906736514,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,0,balanced_accuracy,37.66254016254017,32.07049765952205,43.19432577656262,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,0,balanced_accuracy,32.11382145833365,26.74978898322695,37.28817086136166,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,0,tail_rank2,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,0,tail_rank2,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,0,tail_rank2,96.15384615384616,87.5,100.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,0,tail_rank2,68.16239316239317,52.0,83.33787878787876,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,0,current_macro_recall,38.91444937176645,30.938352525357995,47.181125277161854,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,0,current_macro_recall,19.764474840694348,10.873507320768473,27.85646906736514,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,0,current_macro_recall,37.66254016254017,32.07049765952205,43.19432577656262,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,0,current_macro_recall,32.11382145833365,26.74978898322695,37.28817086136166,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,0,label_6_recall,96.15384615384616,87.5,100.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,0,label_7_recall,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,0,label_7_recall,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,0,base_macro_recall,38.91444937176645,30.938352525357995,47.181125277161854,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,0,base_macro_recall,19.764474840694348,10.873507320768473,27.85646906736514,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,0,base_macro_recall,37.66254016254017,32.07049765952205,43.19432577656262,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,0,base_macro_recall,32.11382145833365,26.74978898322695,37.28817086136166,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,0,tail_base_macro_recall,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,0,tail_base_macro_recall,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,0,tail_base_macro_recall,96.15384615384616,87.5,100.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,0,tail_base_macro_recall,68.16239316239317,52.0,83.33787878787876,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,1,balanced_accuracy,43.541123419172195,36.79750393340509,49.813976143305936,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,1,balanced_accuracy,30.31320955101442,23.525877469354686,37.04012524832487,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,1,balanced_accuracy,35.6676450883768,29.514384957928407,41.62665680648137,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,1,balanced_accuracy,36.50732601952114,30.91798036056757,41.79177808092282,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,1,tail_rank2,71.31410256410255,57.56209886128364,83.93035714285713,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,1,tail_rank2,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,1,tail_rank2,92.3076923076923,80.0,100.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,1,tail_rank2,72.59615384615385,59.29398148148148,84.78279872301611,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,1,old_macro_recall,30.358462675535847,22.33376093665728,38.746946183363065,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,1,old_macro_recall,51.044138650845966,41.635233918128655,60.16582825203251,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,1,old_macro_recall,28.46850784350785,21.602910434846407,34.98478203083465,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,1,old_macro_recall,36.623703056629886,30.382473043931377,42.6012061037752,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,1,current_macro_recall,69.9064449064449,58.82897993511955,80.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1994,1,current_macro_recall,-11.148648648648646,-21.318250068250062,-1.0094185094185137,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,1,current_macro_recall,50.0659195781147,38.22798550109951,62.052482715273406,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,fixed_pair_mean,1,current_macro_recall,36.274571945303656,28.94189571031676,43.385599791849785,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,1,label_6_recall,88.46153846153845,76.0,100.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1995,1,label_6_recall,92.3076923076923,80.0,100.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus S-J-U,1993,1,label_7_recall,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
