dataset,seed,task,contrast,metric,difference_pp
ISIC,1993,2,C1-C0,old,0.0
ISIC,1994,2,C1-C0,old,-5.416666666666671
ISIC,1995,2,C1-C0,old,-3.75
ISIC,1993,2,C1-C0,current,2.5
ISIC,1994,2,C1-C0,current,1.3513513513513473
ISIC,1995,2,C1-C0,current,-0.7867132867132938
ISIC,1993,2,C1-C0,tail,0.0
ISIC,1994,2,C1-C0,tail,-8.333333333333336
ISIC,1995,2,C1-C0,tail,-3.846153846153854
ISIC,1993,2,C1-C0,HM,1.2182681879171326
ISIC,1994,2,C1-C0,HM,-1.9262144496059221
ISIC,1995,2,C1-C0,HM,-3.621664244396328
ISIC,1993,2,C2-C0,BA,3.1508684405025775
ISIC,1994,2,C2-C0,BA,1.9819819819819742
ISIC,1995,2,C2-C0,BA,8.299588924588917
ISIC,1993,2,C2-C0,old,14.218403547671826
ISIC,1994,2,C2-C0,old,6.666666666666657
ISIC,1995,2,C2-C0,old,27.263513513513516
ISIC,1993,2,C2-C0,current,-7.916666666666657
ISIC,1994,2,C2-C0,current,-2.7027027027027017
ISIC,1995,2,C2-C0,current,-10.664335664335667
ISIC,1993,2,C2-C0,tail,4.166666666666671
ISIC,1994,2,C2-C0,tail,-4.166666666666671
ISIC,1995,2,C2-C0,tail,-7.692307692307693
ISIC,1993,2,C2-C0,HM,1.54336052467454
ISIC,1994,2,C2-C0,HM,1.2107303320331866
ISIC,1995,2,C2-C0,HM,16.211908065262698
ISIC,1993,2,C3-C0,BA,3.1508684405025775
ISIC,1994,2,C3-C0,BA,1.306306306306297
ISIC,1995,2,C3-C0,BA,8.299588924588917
ISIC,1993,2,C3-C0,old,14.218403547671826
ISIC,1994,2,C3-C0,old,6.666666666666657
ISIC,1995,2,C3-C0,old,27.263513513513516
ISIC,1993,2,C3-C0,current,-7.916666666666657
ISIC,1994,2,C3-C0,current,-4.054054054054056
ISIC,1995,2,C3-C0,current,-10.664335664335667
ISIC,1993,2,C3-C0,tail,4.166666666666671
ISIC,1994,2,C3-C0,tail,-4.166666666666671
ISIC,1995,2,C3-C0,tail,-7.692307692307693
ISIC,1993,2,C3-C0,HM,1.54336052467454
ISIC,1994,2,C3-C0,HM,0.35055733507203257
ISIC,1995,2,C3-C0,HM,16.211908065262698
ISIC,1993,2,interaction,BA,-1.25
ISIC,1994,2,interaction,BA,1.3569819819819884
ISIC,1995,2,interaction,BA,2.26835664335664
ISIC,1993,2,interaction,old,0.0
ISIC,1994,2,interaction,old,5.416666666666671
ISIC,1995,2,interaction,old,3.75
ISIC,1993,2,interaction,current,-2.5
ISIC,1994,2,interaction,current,-2.7027027027027017
ISIC,1995,2,interaction,current,0.7867132867132938
ISIC,1993,2,interaction,tail,0.0
ISIC,1994,2,interaction,tail,8.333333333333336
ISIC,1995,2,interaction,tail,3.846153846153854
ISIC,1993,2,interaction,HM,-1.2182681879171326
ISIC,1994,2,interaction,HM,1.0660414526447681
ISIC,1995,2,interaction,HM,3.621664244396328
ISIC,1993,2,C2-P,BA,4.598577235772353
ISIC,1994,2,C2-P,BA,1.2347560975609753
ISIC,1995,2,C2-P,BA,-1.9737525987526112
ISIC,1993,2,C2-P,old,-1.2195121951219505
ISIC,1994,2,C2-P,old,1.25
ISIC,1995,2,C2-P,old,-0.10135135135134021
ISIC,1993,2,C2-P,current,10.416666666666671
ISIC,1994,2,C2-P,current,1.2195121951219505
ISIC,1995,2,C2-P,current,-3.8461538461538396
ISIC,1993,2,C2-P,tail,8.333333333333336
ISIC,1994,2,C2-P,tail,0.0
ISIC,1995,2,C2-P,tail,-7.692307692307693
ISIC,1993,2,C2-P,HM,7.05753532829948
ISIC,1994,2,C2-P,HM,1.249701446172537
ISIC,1995,2,C2-P,HM,-1.6994977356276735
ISIC,1993,2,C3-P,BA,4.598577235772353
ISIC,1994,2,C3-P,BA,0.559080421885298
ISIC,1995,2,C3-P,BA,-1.9737525987526112
ISIC,1993,2,C3-P,old,-1.2195121951219505
ISIC,1994,2,C3-P,old,1.25
ISIC,1995,2,C3-P,old,-0.10135135135134021
ISIC,1993,2,C3-P,current,10.416666666666671
ISIC,1994,2,C3-P,current,-0.1318391562294039
ISIC,1995,2,C3-P,current,-3.8461538461538396
ISIC,1993,2,C3-P,tail,8.333333333333336
ISIC,1994,2,C3-P,tail,0.0
ISIC,1995,2,C3-P,tail,-7.692307692307693
ISIC,1993,2,C3-P,HM,7.05753532829948
ISIC,1994,2,C3-P,HM,0.3895284492113831
ISIC,1995,2,C3-P,HM,-1.6994977356276735
ISIC,1993,3,C3-C1,BA,2.085338579241011
ISIC,1994,3,C3-C1,BA,5.595057363350044
ISIC,1995,3,C3-C1,BA,9.072406663870083
ISIC,1993,3,C3-C1,old,8.923226164079821
ISIC,1994,3,C3-C1,old,15.61003076246979
ISIC,1995,3,C3-C1,old,16.921068796068802
ISIC,1993,3,C3-C1,current,-11.590436590436582
ISIC,1994,3,C3-C1,current,-14.434889434889442
ISIC,1995,3,C3-C1,current,-6.624917600527361
ISIC,1993,3,C3-C1,tail,1.9230769230769198
ISIC,1994,3,C3-C1,tail,20.833333333333336
ISIC,1995,3,C3-C1,tail,0.0
ISIC,1993,3,C3-C1,HM,0.8541585152005382
ISIC,1994,3,C3-C1,HM,8.15029214345607
ISIC,1995,3,C3-C1,HM,4.134918953004586
ISIC,1993,3,C1-C0,BA,1.0914760914760961
ISIC,1994,3,C1-C0,BA,-2.6185636856368504
ISIC,1995,3,C1-C0,BA,-1.0955710955711027
ISIC,1993,3,C1-C0,old,0.0
ISIC,1994,3,C1-C0,old,-4.603521204130963
ISIC,1995,3,C1-C0,old,-1.6433566433566469
