dataset,seed,task,candidate,comparator,ba_difference_pp,macro_f1_difference_pp,accuracy_difference_pp,tail_ba_difference_pp,old_ba_difference_pp,current_ba_difference_pp,hm_difference_pp,zero_recall_difference
HK,1994,9,A6,A5,-0.13550135501354532,-0.20497128930864195,-0.09199632014719183,0.0,-0.1524390243902385,0.0,-0.07601889116830574,0
HK,1994,9,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,9,A6,A3s,-0.43471153004408514,-0.7240224695695852,-0.36798528058877844,0.0,-0.29965653190565655,-1.5151515151515138,-0.9031028175341627,0
HK,1994,10,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,10,A2,A0,1.1953514070859872,0.5986081141389654,0.07710100231302919,3.437499999999999,1.4763163782436917,-1.3333333333333308,0.5599411769046769,0
HK,1994,10,A6,A0,1.1953514070859872,0.5986081141389654,0.07710100231302919,3.437499999999999,1.4763163782436917,-1.3333333333333308,0.5599411769046769,0
HK,1994,10,A6,A5,0.0,-0.05780164823295797,0.0,0.0,0.0,0.0,0.0,0
HK,1994,10,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,10,A6,A3s,-0.013549507817023354,0.13889642878809338,0.23130300693908756,0.0,-0.16320315683372444,1.333333333333342,0.36194199821076856,0
HK,1994,11,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,11,A2,A0,0.6860163331168456,0.4073782777785806,0.2944640753828054,0.9374999999999967,0.6047238930071308,1.2279659338482851,0.8889327113299039,0
HK,1994,11,A6,A0,0.6860163331168456,0.4073782777785806,0.2944640753828054,0.9374999999999967,0.6047238930071308,1.2279659338482851,0.8889327113299039,0
HK,1994,11,A6,A5,0.07246376811593791,-0.019014682401874428,0.05889281507656108,0.0,0.08333333333332416,0.0,0.04591200191842448,0
HK,1994,11,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,11,A6,A3s,0.09765154319036906,0.17397686903327658,0.2944640753828054,0.0,-0.09416093179128726,1.3764013764013705,0.5778821511093879,0
HK,1995,1,A6,A2,0.0,0.0,0.0,nan,nan,0.0,nan,0
HK,1995,1,A2,A0,-0.31250000000000444,-0.30921606115168476,-0.30864197530864335,nan,nan,-0.31250000000000444,nan,0
HK,1995,1,A6,A0,-0.31250000000000444,-0.30921606115168476,-0.30864197530864335,nan,nan,-0.31250000000000444,nan,0
HK,1995,1,A6,A5,0.0,0.0,0.0,nan,nan,0.0,nan,0
HK,1995,1,A6,A4,0.0,0.0,0.0,nan,nan,0.0,nan,0
HK,1995,1,A6,A3s,0.0,0.0,0.0,nan,nan,0.0,nan,0
HK,1995,2,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,2,A2,A0,-0.0038109756097637337,1.391457939509988,0.0,0.0,-0.007621951219516365,0.0,-0.003895578530532795,0
HK,1995,2,A6,A0,-0.0038109756097637337,1.391457939509988,0.0,0.0,-0.007621951219516365,0.0,-0.003895578530532795,0
HK,1995,2,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,2,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,2,A6,A3s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,3,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,3,A2,A0,0.10162601626015899,1.031351280365822,0.19379844961240345,0.0,0.1524390243902385,0.0,0.033895603264788576,0
HK,1995,3,A6,A0,0.10162601626015899,1.031351280365822,0.19379844961240345,0.0,0.1524390243902385,0.0,0.033895603264788576,0
HK,1995,3,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,3,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,3,A6,A3s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,4,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,4,A2,A0,-0.22865853658536883,-0.14160521877620846,0.0,0.0,0.10162601626015899,-1.2195121951219523,-0.4883507783450258,0
HK,1995,4,A6,A0,-0.22865853658536883,-0.14160521877620846,0.0,0.0,0.10162601626015899,-1.2195121951219523,-0.4883507783450258,0
HK,1995,4,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,4,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,4,A6,A3s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1995,5,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
